,name,normal_acc,normal_acc_attack,soup_acc,soup_acc_attack
42,"NN_tune_trainable_a17ed_02123_2123_model::dropout=0.5,model::init_type=normal,model::nlin=relu,optim::lr=0.001,optim::optimizer=sg_2021-07-09_16-12-05",0.113,0.1135,0.1135,0.1135
43,"NN_tune_trainable_a17ed_02448_2448_model::dropout=0.0,model::init_type=uniform,model::nlin=sigmoid,optim::lr=0.001,optim::optimize_2021-07-10_13-22-30",0.98,0.841,0.9815,0.8856
44,"NN_tune_trainable_a17ed_00067_67_model::dropout=0.5,model::init_type=normal,model::nlin=tanh,optim::lr=0.001,optim::optimizer=sgd,_2021-07-05_00-18-00",0.955,0.2047,0.9576,0.1739
45,"NN_tune_trainable_a17ed_00197_197_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=tanh,optim::lr=0.001,optim::opti_2021-07-05_06-47-37",0.958,0.1405,0.96,0.1606
46,"NN_tune_trainable_a17ed_02078_2078_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=gelu,optim::lr=0.001,optim::opti_2021-07-09_13-21-19",0.984,0.9436,0.9901,0.9251
47,"NN_tune_trainable_a17ed_00349_349_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=gelu,optim::lr=0.001,optim::opti_2021-07-05_14-49-04",0.931,0.1135,0.9338,0.1135
48,"NN_tune_trainable_a17ed_01044_1044_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=sigmoid,optim::lr=0.001,optim::_2021-07-07_04-24-33",0.975,0.4038,0.9759,0.4344
49,"NN_tune_trainable_a17ed_00801_801_model::dropout=0.5,model::init_type=uniform,model::nlin=tanh,optim::lr=0.0001,optim::optimizer=a_2021-07-06_14-59-38",0.862,0.2288,0.8589,0.241
50,"NN_tune_trainable_a17ed_01250_1250_model::dropout=0.0,model::init_type=normal,model::nlin=tanh,optim::lr=0.0001,optim::optimizer=s_2021-07-07_15-35-13",0.781,0.6077,0.78,0.5972
51,"NN_tune_trainable_a17ed_01498_1498_model::dropout=0.0,model::init_type=normal,model::nlin=gelu,optim::lr=0.001,optim::optimizer=sg_2021-07-08_05-34-49",0.113,0.1135,0.1135,0.1135
52,"NN_tune_trainable_a17ed_00239_239_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=relu,optim::lr=0.0001,optim::opti_2021-07-05_09-01-16",0.88,0.1229,0.8783,0.1229
53,"NN_tune_trainable_a17ed_02135_2135_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=sigmoid,optim::lr=0.001,optim::o_2021-07-09_17-08-07",0.113,0.1135,0.1135,0.1135
54,"NN_tune_trainable_a17ed_00585_585_model::dropout=0.5,model::init_type=uniform,model::nlin=relu,optim::lr=0.001,optim::optimizer=sg_2021-07-06_03-22-22",0.113,0.1135,0.1135,0.1135
55,"NN_tune_trainable_a17ed_02285_2285_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=relu,optim::lr=0.0001,optim::op_2021-07-10_02-40-27",0.915,0.1946,0.9118,0.2434
56,"NN_tune_trainable_a17ed_00743_743_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=tanh,optim::lr=0.0001,optim::opti_2021-07-06_11-54-40",0.944,0.5343,0.9463,0.5267
57,"NN_tune_trainable_a17ed_01193_1193_model::dropout=0.5,model::init_type=uniform,model::nlin=relu,optim::lr=0.0001,optim::optimizer=_2021-07-07_12-32-18",0.902,0.101,0.9007,0.101
58,"NN_tune_trainable_a17ed_00719_719_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=relu,optim::lr=0.001,optim::optim_2021-07-06_10-27-30",0.933,0.1135,0.9416,0.1135
59,"NN_tune_trainable_a17ed_01985_1985_model::dropout=0.5,model::init_type=uniform,model::nlin=tanh,optim::lr=0.001,optim::optimizer=s_2021-07-09_07-35-18",0.802,0.31,0.7963,0.3844
60,"NN_tune_trainable_a17ed_01822_1822_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=gelu,optim::lr=0.001,optim::opti_2021-07-08_22-59-26",0.978,0.9163,0.9884,0.9008
61,"NN_tune_trainable_a17ed_00728_728_model::dropout=0.0,model::init_type=uniform,model::nlin=gelu,optim::lr=0.001,optim::optimizer=sg_2021-07-06_10-53-38",0.113,0.1135,0.1135,0.1135
62,"NN_tune_trainable_a17ed_00543_543_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=gelu,optim::lr=0.001,optim::optim_2021-07-06_01-11-29",0.962,0.1035,0.9643,0.102
63,"NN_tune_trainable_a17ed_02492_2492_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=gelu,optim::lr=0.0001,optim::op_2021-07-10_15-58-38",0.979,0.6636,0.981,0.6542
64,"NN_tune_trainable_a17ed_02373_2373_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=tanh,optim::lr=0.001,optim::opt_2021-07-10_08-24-45",0.96,0.2763,0.9599,0.3073
