,name,normal_acc,normal_acc_attack,soup_acc,soup_acc_attack
203,NN_tune_trainable_dbca4_00107_107_seed=108_2022-08-25_06-57-05,0.561,0.0904,0.6388,0.0902
204,NN_tune_trainable_dbca4_00889_889_seed=890_2022-10-18_20-18-04,0.563,0.0908,0.6449,0.093
205,NN_tune_trainable_dbca4_00416_416_seed=417_2022-09-01_18-12-11,0.556,0.0847,0.6413,0.0877
206,NN_tune_trainable_dbca4_00802_802_seed=803_2022-10-10_11-01-12,0.559,0.0834,0.6352,0.0838
207,NN_tune_trainable_dbca4_00850_850_seed=851_2022-10-15_06-09-01,0.556,0.0874,0.6422,0.0884
208,NN_tune_trainable_dbca4_00101_101_seed=102_2022-08-25_04-11-17,0.566,0.0807,0.6414,0.0826
209,NN_tune_trainable_dbca4_00074_74_seed=75_2022-08-24_11-43-19,0.561,0.0857,0.6374,0.088
210,NN_tune_trainable_dbca4_00136_136_seed=137_2022-08-26_01-34-22,0.569,0.0866,0.6455,0.0913
211,NN_tune_trainable_dbca4_00840_840_seed=841_2022-10-14_06-13-54,0.574,0.0851,0.6448,0.0869
212,NN_tune_trainable_dbca4_00021_21_seed=22_2022-08-23_02-58-39,0.576,0.0828,0.6385,0.0829
213,NN_tune_trainable_dbca4_00227_227_seed=228_2022-08-28_07-20-33,0.561,0.0895,0.6374,0.0904
214,NN_tune_trainable_dbca4_00120_120_seed=121_2022-08-25_15-41-57,0.567,0.0949,0.6376,0.0915
215,NN_tune_trainable_dbca4_00276_276_seed=277_2022-08-29_11-19-14,0.558,0.0907,0.6347,0.0906
216,NN_tune_trainable_dbca4_00691_691_seed=692_2022-09-29_07-50-36,0.557,0.0854,0.6393,0.0896
217,NN_tune_trainable_dbca4_00699_699_seed=700_2022-09-30_03-05-08,0.567,0.0837,0.6373,0.0836
218,NN_tune_trainable_dbca4_00374_374_seed=375_2022-08-31_20-57-58,0.568,0.0888,0.6431,0.0887
219,NN_tune_trainable_dbca4_00794_794_seed=795_2022-10-09_15-48-17,0.563,0.0855,0.6403,0.0828
220,NN_tune_trainable_dbca4_00002_2_seed=3_2022-08-22_15-18-26,0.576,0.0837,0.6404,0.0847
221,NN_tune_trainable_dbca4_00573_573_seed=574_2022-09-17_18-54-45,0.561,0.083,0.6397,0.0825
222,NN_tune_trainable_dbca4_00008_8_seed=9_2022-08-22_19-58-10,0.548,0.0847,0.6413,0.0844
