,name,normal_acc,normal_acc_attack,soup_acc,soup_acc_attack
79,"NN_tune_trainable_b6a12_02543_2543_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=relu,optim::lr=0.0001,optim::opt_2021-07-15_05-14-11",0.842,0.3281,0.8453,0.3354
80,"NN_tune_trainable_b6a12_01929_1929_model::dropout=0.5,model::init_type=uniform,model::nlin=relu,optim::lr=0.001,optim::optimizer=a_2021-07-13_19-20-12",0.953,0.1135,0.9554,0.1135
81,"NN_tune_trainable_b6a12_00839_839_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=tanh,optim::lr=0.001,optim::optim_2021-07-11_07-10-54",0.946,0.5561,0.9469,0.5707
82,"NN_tune_trainable_b6a12_02280_2280_model::dropout=0.0,model::init_type=uniform,model::nlin=relu,optim::lr=0.0001,optim::optimizer=_2021-07-14_15-39-51",0.113,0.1135,0.1135,0.1135
83,"NN_tune_trainable_b6a12_00421_421_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=tanh,optim::lr=0.0001,optim::opt_2021-07-10_07-17-54",0.958,0.3102,0.9571,0.3214
84,"NN_tune_trainable_b6a12_00661_661_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=sigmoid,optim::lr=0.001,optim::o_2021-07-10_21-56-38",0.933,0.1893,0.9364,0.1965
85,"NN_tune_trainable_b6a12_00116_116_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=sigmoid,optim::lr=0.0001,optim::_2021-07-09_12-56-50",0.865,0.8009,0.8642,0.7884
86,"NN_tune_trainable_b6a12_01895_1895_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=tanh,optim::lr=0.0001,optim::opt_2021-07-13_17-16-57",0.944,0.5289,0.9454,0.547
87,"NN_tune_trainable_b6a12_02421_2421_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=sigmoid,optim::lr=0.0001,optim:_2021-07-14_23-02-20",0.113,0.1135,0.1135,0.1135
88,"NN_tune_trainable_b6a12_01319_1319_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=tanh,optim::lr=0.0001,optim::opt_2021-07-12_08-25-57",0.955,0.6887,0.9558,0.6861
89,"NN_tune_trainable_b6a12_01425_1425_model::dropout=0.5,model::init_type=uniform,model::nlin=sigmoid,optim::lr=0.001,optim::optimize_2021-07-12_14-31-19",0.915,0.7591,0.9174,0.7829
90,"NN_tune_trainable_b6a12_01804_1804_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=relu,optim::lr=0.001,optim::opt_2021-07-13_11-52-11",0.985,0.9511,0.9878,0.9632
91,"NN_tune_trainable_b6a12_01163_1163_model::dropout=0.5,model::init_type=normal,model::nlin=relu,optim::lr=0.001,optim::optimizer=ad_2021-07-12_00-00-55",0.932,0.1135,0.9353,0.1135
92,"NN_tune_trainable_b6a12_01205_1205_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=sigmoid,optim::lr=0.0001,optim:_2021-07-12_02-23-34",0.881,0.8173,0.8795,0.8148
93,"NN_tune_trainable_b6a12_01283_1283_model::dropout=0.5,model::init_type=normal,model::nlin=tanh,optim::lr=0.001,optim::optimizer=ad_2021-07-12_06-22-41",0.96,0.6556,0.965,0.582
94,"NN_tune_trainable_b6a12_01770_1770_model::dropout=0.0,model::init_type=normal,model::nlin=relu,optim::lr=0.0001,optim::optimizer=s_2021-07-13_09-53-32",0.113,0.1135,0.1135,0.1135
95,"NN_tune_trainable_b6a12_02129_2129_model::dropout=0.5,model::init_type=uniform,model::nlin=sigmoid,optim::lr=0.001,optim::optimize_2021-07-14_07-00-06",0.102,0.1135,0.1135,0.1135
96,"NN_tune_trainable_b6a12_00264_264_model::dropout=0.0,model::init_type=uniform,model::nlin=relu,optim::lr=0.001,optim::optimizer=ad_2021-07-09_21-19-01",0.983,0.9391,0.9884,0.9428
97,"NN_tune_trainable_b6a12_02410_2410_model::dropout=0.0,model::init_type=normal,model::nlin=relu,optim::lr=0.0001,optim::optimizer=s_2021-07-14_22-29-52",0.113,0.1135,0.1135,0.1135
98,"NN_tune_trainable_b6a12_00211_211_model::dropout=0.5,model::init_type=normal,model::nlin=sigmoid,optim::lr=0.001,optim::optimizer=_2021-07-09_18-23-15",0.113,0.1135,0.1135,0.1135
99,"NN_tune_trainable_b6a12_02175_2175_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=gelu,optim::lr=0.0001,optim::opt_2021-07-14_09-39-04",0.911,0.0159,0.9138,0.0218
100,"NN_tune_trainable_b6a12_01515_1515_model::dropout=0.5,model::init_type=normal,model::nlin=relu,optim::lr=0.0001,optim::optimizer=s_2021-07-12_19-36-43",0.113,0.1135,0.1135,0.1135
101,"NN_tune_trainable_b6a12_01243_1243_model::dropout=0.5,model::init_type=normal,model::nlin=gelu,optim::lr=0.001,optim::optimizer=sg_2021-07-12_04-20-59",0.098,0.098,0.098,0.098
102,"NN_tune_trainable_b6a12_00135_135_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=tanh,optim::lr=0.001,optim::optim_2021-07-09_13-55-09",0.96,0.5695,0.9622,0.6057
103,"NN_tune_trainable_b6a12_00222_222_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=gelu,optim::lr=0.001,optim::optim_2021-07-09_18-47-53",0.984,0.2498,0.987,0.2613
104,"NN_tune_trainable_b6a12_00720_720_model::dropout=0.0,model::init_type=uniform,model::nlin=sigmoid,optim::lr=0.001,optim::optimizer_2021-07-11_00-57-18",0.1,0.1135,0.1135,0.1135
105,"NN_tune_trainable_b6a12_02431_2431_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=gelu,optim::lr=0.0001,optim::opt_2021-07-14_23-31-53",0.884,0.1895,0.8835,0.1921
106,"NN_tune_trainable_b6a12_01094_1094_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=tanh,optim::lr=0.001,optim::opti_2021-07-11_20-31-49",0.981,0.4854,0.9828,0.7463
107,"NN_tune_trainable_b6a12_00035_35_model::dropout=0.5,model::init_type=normal,model::nlin=tanh,optim::lr=0.0001,optim::optimizer=ada_2021-07-09_08-42-12",0.758,0.349,0.7544,0.3391
108,"NN_tune_trainable_b6a12_00355_355_model::dropout=0.5,model::init_type=normal,model::nlin=tanh,optim::lr=0.0001,optim::optimizer=sg_2021-07-10_03-12-25",0.586,0.5356,0.5864,0.5271
109,"NN_tune_trainable_b6a12_01116_1116_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=gelu,optim::lr=0.001,optim::opt_2021-07-11_21-37-29",0.98,0.9713,0.9851,0.9768
110,"NN_tune_trainable_b6a12_01400_1400_model::dropout=0.0,model::init_type=uniform,model::nlin=gelu,optim::lr=0.0001,optim::optimizer=_2021-07-12_13-02-30",0.113,0.1028,0.101,0.101
111,"NN_tune_trainable_b6a12_02524_2524_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=gelu,optim::lr=0.001,optim::opt_2021-07-15_04-11-14",0.984,0.6328,0.9857,0.6806
112,"NN_tune_trainable_b6a12_01756_1756_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=gelu,optim::lr=0.001,optim::opt_2021-07-13_08-58-41",0.983,0.4208,0.9837,0.4091
113,"NN_tune_trainable_b6a12_00268_268_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=relu,optim::lr=0.001,optim::opti_2021-07-09_21-35-55",0.983,0.9469,0.9875,0.9611
114,"NN_tune_trainable_b6a12_01027_1027_model::dropout=0.5,model::init_type=normal,model::nlin=tanh,optim::lr=0.001,optim::optimizer=ad_2021-07-11_17-06-08",0.957,0.1206,0.9594,0.1393
115,"NN_tune_trainable_b6a12_01244_1244_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=gelu,optim::lr=0.001,optim::opt_2021-07-12_04-22-06",0.979,0.9227,0.9815,0.9393
